Date,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
2025-01-10,18.9436,25.4459,31.8807,37.8275,45.9018,55.4789,69.6968,81.4822
2024-12-31,18.7973,24.6774,32.1823,37.8496,46.485,56.0044,70.0602,81.445
2024-11-29,18.5018,23.1773,30.1589,35.5736,43.7909,52.5652,67.0,78.3753
2024-10-31,19.5169,23.7423,31.4756,38.2854,47.1183,57.0751,71.0415,81.8852
2024-09-30,12.936164554328956,24.9804,32.1611,38.8525,48.5508,59.1556,73.9324,85.3695
2024-08-30,15.181966131415178,21.0954,27.83,34.9207,42.8998,52.6142,65.8631,75.2968
2024-07-31,18.1342,21.8762,28.8609,34.2388,43.8819,52.1373,66.7032,78.9138
2024-06-28,19.7425,23.1877,31.7253,37.717,46.6805,57.0981,71.8233,83.2193
2024-05-31,17.2539,21.3936,27.4958,33.3678,41.9538,50.1486,64.9266,76.8306
2024-04-30,20.4659,25.2772,33.0175,38.9644,48.9638,59.2435,73.3355,84.7834
2024-03-29,21.3087,25.9027,33.3987,39.3482,48.7662,56.9981,71.3453,81.9014
2024-02-29,22.9036,28.0635,35.4942,41.936,50.6351,59.3011,74.2029,85.2796
2024-01-31,24.8938,30.4039,38.4886,44.6154,53.3864,62.138,76.0218,86.8274
2023-12-29,27.3577,31.9432,40.7754,45.8516,55.2907,63.6807,76.6549,86.9904
2023-11-30,31.3858,36.6576,46.5014,53.9268,64.1837,74.7353,87.6218,98.9057
2023-10-31,40.5681,47.0269,60.0143,68.5771,81.915,95.8861,111.0429,119.8641
2023-09-29,35.9695,42.4834,52.8585,61.388,73.927,86.3403,101.7776,109.522
2023-08-31,26.0026,33.5708,41.8854,49.1952,59.3771,69.1354,82.9433,93.1907
2023-07-31,23.9828,30.1296,38.6946,45.8746,55.0703,63.8394,77.6388,88.671
2023-06-30,29.6384,37.5168,46.482,57.0548,68.2387,78.6756,93.083,103.2724
2023-05-31,40.0678,49.1297,56.6136,63.3189,73.9019,84.3563,97.6906,107.4816
2023-04-28,47.9132,56.6112,63.3201,70.7513,81.3983,91.6156,104.6133,114.2679
2023-03-31,48.7795,58.8844,68.12,75.0307,85.3582,96.8775,110.8044,120.1951
2023-02-28,30.4065,36.3141,46.4757,54.3486,65.449,78.3776,92.55,105.6608
