Date,1Y,2Y,3Y,4Y,6M,6M_1Y,2Y_6M,3Y_6M,4Y_6M,5Y,7Y,10Y,7Y_5Y,10Y_5Y

1/10/2025,25.4459,31.8807,37.8275,45.9018,18.9436,6.5024,12.9372,18.8839,26.9583,55.4789,69.6968,81.4822,14.2179,26.0033

12/31/2024,24.6774,32.1823,37.8496,46.485,18.7973,5.8801,13.3851,19.0523,27.6877,56.0044,70.0602,81.445,14.0558,25.4406

11/29/2024,23.1773,30.1589,35.5736,43.7909,18.5018,4.6755,11.6571,17.0717,25.2891,52.5652,67,78.3753,14.4348,25.8101

10/31/2024,23.7423,31.4756,38.2854,47.1183,19.5169,4.2254,11.9587,18.7686,27.6015,57.0751,71.0415,81.8852,13.9665,24.8102

9/30/2024,24.9804,32.1611,38.8525,48.5508,,,,,,59.1556,73.9324,85.3695,14.7768,26.2139

8/30/2024,21.0954,27.83,34.9207,42.8998,,,,,,52.6142,65.8631,75.2968,13.2489,22.6826

7/31/2024,21.8762,28.8609,34.2388,43.8819,18.1342,3.742,10.7267,16.1045,25.7477,52.1373,66.7032,78.9138,14.5659,26.7764

6/28/2024,23.1877,31.7253,37.717,46.6805,19.7425,3.4452,11.9829,17.9745,26.938,57.0981,71.8233,83.2193,14.7252,26.1211

5/31/2024,21.3936,27.4958,33.3678,41.9538,17.2539,4.1397,10.2419,16.1139,24.6999,50.1486,64.9266,76.8306,14.7781,26.6821

4/30/2024,25.2772,33.0175,38.9644,48.9638,20.4659,4.8113,12.5516,18.4985,28.498,59.2435,73.3355,84.7834,14.092,25.5399

3/29/2024,25.9027,33.3987,39.3482,48.7662,21.3087,4.594,12.09,18.0396,27.4576,56.9981,71.3453,81.9014,14.3471,24.9033

2/29/2024,28.0635,35.4942,41.936,50.6351,22.9036,5.1599,12.5906,19.0324,27.7315,59.3011,74.2029,85.2796,14.9017,25.9784

1/31/2024,30.4039,38.4886,44.6154,53.3864,24.8938,5.5101,13.5948,19.7216,28.4926,62.138,76.0218,86.8274,13.8839,24.6894

12/29/2023,31.9432,40.7754,45.8516,55.2907,27.3577,4.5855,13.4177,18.4939,27.933,63.6807,76.6549,86.9904,12.9742,23.3097

11/30/2023,36.6576,46.5014,53.9268,64.1837,31.3858,5.2719,15.1156,22.541,32.798,74.7353,87.6218,98.9057,12.8865,24.1704

10/31/2023,47.0269,60.0143,68.5771,81.915,40.5681,6.4588,19.4461,28.0089,41.3468,95.8861,111.0429,119.8641,15.1568,23.978

9/29/2023,42.4834,52.8585,61.388,73.927,35.9695,6.5139,16.889,25.4185,37.9576,86.3403,101.7776,109.522,15.4373,23.1817

8/31/2023,33.5708,41.8854,49.1952,59.3771,26.0026,7.5682,15.8828,23.1926,33.3745,69.1354,82.9433,93.1907,13.8079,24.0553

7/31/2023,30.1296,38.6946,45.8746,55.0703,23.9828,6.1468,14.7118,21.8918,31.0875,63.8394,77.6388,88.671,13.7995,24.8317

6/30/2023,37.5168,46.482,57.0548,68.2387,29.6384,7.8785,16.8437,27.4165,38.6003,78.6756,93.083,103.2724,14.4074,24.5968

5/31/2023,49.1297,56.6136,63.3189,73.9019,40.0678,9.0618,16.5457,23.251,33.8341,84.3563,97.6906,107.4816,13.3342,23.1253

4/28/2023,56.6112,63.3201,70.7513,81.3983,47.9132,8.698,15.4069,22.8381,33.4851,91.6156,104.6133,114.2679,12.9977,22.6523

3/31/2023,58.8844,68.12,75.0307,85.3582,48.7795,10.1049,19.3405,26.2512,36.5787,96.8775,110.8044,120.1951,13.9269,23.3176

2/28/2023,36.3141,46.4757,54.3486,65.449,30.4065,5.9077,16.0692,23.9421,35.0425,78.3776,92.55,105.6608,14.1725,27.2832

1/31/2023,39.0375,49.2202,56.7707,67.4853,33.7621,5.2754,15.458,23.0085,33.7231,78.8514,91.054,104.0811,12.2026,25.2297

12/30/2022,49.9319,61.7145,72.2635,84.4356,43.237,6.6949,18.4775,29.0265,41.1985,96.7005,111.6043,123.801,14.9038,27.1005

11/30/2022,49.4434,61.0935,71.3661,82.7367,42.1295,7.3138,18.9639,29.2366,40.6071,94.0401,107.4648,121.3877,13.4247,27.3476

10/31/2022,59.459,75.4383,87.645,101.8366,51.5759,7.8831,23.8624,36.0691,50.2607,117.1311,130.515,144.4065,13.3839,27.2754

9/30/2022,70.7767,86.1508,100.4993,117.102,60.6095,10.1672,25.5413,39.8898,56.4925,134.1565,148.1576,162.0172,14.0011,27.8607

8/31/2022,51.592,64.9045,75.4204,88.4658,44.4432,7.1488,20.4613,30.9772,44.0226,102.2653,117.2659,129.1073,15.0006,26.842

7/29/2022,56.243,68.0114,79.3494,90.609,48.6045,7.6385,19.407,30.7449,42.0046,103.778,119.8893,132.2734,16.1113,28.4954

6/30/2022,67.4143,83.5002,96.7273,110.4634,59.32,8.0943,24.1802,37.4073,51.1434,127.6386,139.1114,153.009,11.4728,25.3704

5/31/2022,54.5811,68.6022,79.3573,90.5877,48.1247,6.4564,20.4775,31.2326,42.463,103.0096,117.8139,129.9502,14.8043,26.9406

4/29/2022,56.8979,71.2763,82.1768,94.0537,50.025,6.8729,21.2513,32.1518,44.0287,108.672,121.1459,134.9188,12.4739,26.2468

3/31/2022,45.502,56.1245,64.7872,74.3947,39.805,5.697,16.3195,24.9823,34.5897,85.0617,100.219,112.6532,15.1573,27.5915

2/28/2022,39.6005,47.571,56.0485,65.4687,33.1734,6.4272,14.3977,22.8751,32.2953,77.5044,91.1795,103.7133,13.6751,26.2089

1/31/2022,34.8893,42.6701,49.7851,56.5634,29.8867,5.0026,12.7834,19.8984,26.6767,67.6976,80.5509,94.6363,12.8534,26.9387

